rank,sourceid,title,type,issn,sjr,sjr_best_quartile,h_index,total_docs._(2013),total_docs._(3years),total_refs.,total_cites_(3years),citable_docs._(3years),cites_/_doc._(2years),ref._/_doc.,%female,overton,sdg,country,region,publisher,coverage,categories,areas,year,total_docs._(2014),total_docs._(2015),total_docs._(2016),total_docs._(2017),total_docs._(2018),total_docs._(2019),total_docs._(2020),total_docs._(2021),total_docs._(2022),total_docs._(2023),areas_split,Min_Percentile_own,sjr_best_quartile_own
4625,23918,Environmental Science and Pollution Research,journal,"09441344, 16147499","0,942",Q1,179,848.0,758,41312,2082,733,"2,63","48,72","40,49",159,0,Germany,Western Europe,,1994-2023,"Medicine (miscellaneous) (Q1); Environmental Chemistry (Q2); Health, Toxicology and Mutagenesis (Q2); Pollution (Q2)",Environmental Science; Medicine,2013,,,,,,,,,,,"['Environmental Science', 'Medicine']",16.52839821314614,Q1
5994,13909,Geobios,journal,"00166995, 17775728","0,752",Q2,58,44.0,161,2754,215,158,"1,22","62,59","33,94",1,0,France,Western Europe,Elsevier Masson s.r.l.,"1966, 1968-2023",Space and Planetary Science (Q2); Stratigraphy (Q2),Earth and Planetary Sciences,2013,,,,,,,,,,,['Earth and Planetary Sciences'],22.059758423394786,Q1
6597,19700194105,Sustainable Cities and Society,journal,"22106715, 22106707","0,689",Q1,130,37.0,65,1413,157,63,"2,42","38,19","23,86",8,0,Netherlands,Western Europe,Elsevier B.V.,2011-2023,"Geography, Planning and Development (Q1); Civil and Structural Engineering (Q2); Renewable Energy, Sustainability and the Environment (Q2); Transportation (Q2)",Energy; Engineering; Social Sciences,2013,,,,,,,,,,,"['Energy', 'Engineering', 'Social Sciences']",1.1559990265271356,D1
7373,62932,Energies,journal,19961073,"0,613",Q1,152,341.0,510,12038,1303,508,"2,21","35,30","23,48",31,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2008-2023,"Energy Engineering and Power Technology (Q1); Energy (miscellaneous) (Q1); Control and Optimization (Q2); Electrical and Electronic Engineering (Q2); Renewable Energy, Sustainability and the Environment (Q2)",Energy; Engineering; Mathematics,2013,,,,,,,,,,,"['Energy', 'Engineering', 'Mathematics']",9.5351137487636,D1
8041,15026,Flow Measurement and Instrumentation,journal,09555986,"0,554",Q2,69,111.0,209,2394,375,205,"1,58","21,57","18,79",0,0,United Kingdom,Western Europe,Elsevier B.V.,1989-2023,Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Instrumentation (Q2); Modeling and Simulation (Q2),Computer Science; Engineering; Mathematics; Physics and Astronomy,2013,,,,,,,,,,,"['Computer Science', 'Engineering', 'Mathematics', 'Physics and Astronomy']",9.210060219624513,D1
8459,21100240100,Sustainability,journal,20711050,"0,521",Q2,169,279.0,492,15355,940,485,"1,71","55,04","39,30",113,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2009-2023,"Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2); Renewable Energy, Sustainability and the Environment (Q2)",Energy; Environmental Science; Social Sciences,2013,,,,,,,,,,,"['Energy', 'Environmental Science', 'Social Sciences']",12.157413914265636,Q1
12014,21100220478,Urban Climate,journal,22120955,"0,322",Q2,75,28.0,11,1372,15,10,"1,36","49,00","31,76",16,0,Netherlands,Western Europe,Elsevier B.V.,2012-2023,"Geography, Planning and Development (Q2); Urban Studies (Q2); Atmospheric Science (Q3); Environmental Science (miscellaneous) (Q3)",Earth and Planetary Sciences; Environmental Science; Social Sciences,2013,,,,,,,,,,,"['Earth and Planetary Sciences', 'Environmental Science', 'Social Sciences']",5.219713522699684,D1
12380,12000154347,Environmental Engineering and Management Journal,journal,15829596,"0,306",Q3,46,307.0,811,6869,875,793,"1,24","22,37","42,95",2,0,Romania,Eastern Europe,Gh. Asachi Technical University of Iasi,"1988, 2002-2023","Environmental Engineering (Q3); Management, Monitoring, Policy and Law (Q3); Pollution (Q3)",Environmental Science,2013,,,,,,,,,,,['Environmental Science'],39.10034602076124,Q2
12716,21100399705,Minerals,journal,2075163X,"0,295",Q2,58,24.0,36,1265,36,35,"1,03","52,71","20,73",5,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2010-2023,Geotechnical Engineering and Engineering Geology (Q2); Geology (Q3),Earth and Planetary Sciences,2013,,,,,,,,,,,['Earth and Planetary Sciences'],30.552220888355343,Q2
12886,16400154787,Sustainability,journal,"19370709, 19370695","0,290",Q2,0,0.0,0,0,0,0,"0,00","0,00","0,00",0,0,United States,Northern America,Mary Ann Liebert Inc.,2009-2020,"Geography, Planning and Development (Q2); Education (Q3); Management, Monitoring, Policy and Law (Q3); Renewable Energy, Sustainability and the Environment (Q3)",Energy; Environmental Science; Social Sciences,2013,,,,,,,,,,,"['Energy', 'Environmental Science', 'Social Sciences']",12.157413914265636,Q1
