rank,sourceid,title,type,issn,sjr,sjr_best_quartile,h_index,total_docs._(2013),total_docs._(3years),total_refs.,total_cites_(3years),citable_docs._(3years),cites_/_doc._(2years),ref._/_doc.,%female,overton,sdg,country,region,publisher,coverage,categories,areas,year,total_docs._(2014),total_docs._(2015),total_docs._(2016),total_docs._(2017),total_docs._(2018),total_docs._(2019),total_docs._(2020),total_docs._(2021),total_docs._(2022),total_docs._(2023),areas_split,Min_Percentile_own,sjr_best_quartile_own
5345,21100255493,Journal of Environmental Chemical Engineering,journal,"22133437, 22132929","0,859",Q1,127,,800,24264,3339,797,"3,91","46,93","33,37",13,0,United Kingdom,Western Europe,Elsevier B.V.,2013-2023,Chemical Engineering (miscellaneous) (Q1); Process Chemistry and Technology (Q1); Waste Management and Disposal (Q1); Pollution (Q2),Chemical Engineering; Environmental Science,2016,,,517.0,,,,,,,,"['Chemical Engineering', 'Environmental Science']",10.860366713681241,Q1
5425,21100324365,Journal of Water Process Engineering,journal,22147144,"0,851",Q1,89,,192,5664,752,191,"3,92","46,81","30,17",2,0,United Kingdom,Western Europe,Elsevier Ltd,2014-2023,"Process Chemistry and Technology (Q1); Safety, Risk, Reliability and Quality (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1); Biotechnology (Q2)","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Environmental Science",2016,,,121.0,,,,,,,,"['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Engineering', 'Environmental Science']",6.7128900094547745,D1
5516,76627,Materials,journal,19961944,"0,838",Q1,168,,1394,46434,5008,1388,"2,98","45,39","31,88",14,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2008-2023,Materials Science (miscellaneous) (Q1),Materials Science,2016,,,1023.0,,,,,,,,['Materials Science'],12.630208333333334,Q1
6185,13909,Geobios,journal,"00166995, 17775728","0,755",Q2,58,,110,2602,195,108,"1,62","65,05","18,18",1,0,France,Western Europe,Elsevier Masson s.r.l.,"1966, 1968-2023",Space and Planetary Science (Q2); Stratigraphy (Q2),Earth and Planetary Sciences,2016,,,40.0,,,,,,,,['Earth and Planetary Sciences'],22.059758423394786,Q1
6789,21100374601,IEEE Access,journal,21693536,"0,698",Q1,242,,424,34195,2520,419,"4,91","41,45","24,55",0,0,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2013-2023,Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q2),Computer Science; Engineering; Materials Science,2016,,,825.0,,,,,,,,"['Computer Science', 'Engineering', 'Materials Science']",7.281105990783409,D1
7147,62932,Energies,journal,19961073,"0,662",Q1,152,,1507,42233,4479,1501,"2,72","39,25","24,81",61,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2008-2023,"Electrical and Electronic Engineering (Q1); Control and Optimization (Q2); Energy Engineering and Power Technology (Q2); Energy (miscellaneous) (Q2); Renewable Energy, Sustainability and the Environment (Q2)",Energy; Engineering; Mathematics,2016,,,1076.0,,,,,,,,"['Energy', 'Engineering', 'Mathematics']",9.5351137487636,D1
8588,21100240100,Sustainability,journal,20711050,"0,548",Q2,169,,1626,73444,3699,1608,"2,23","54,89","35,51",302,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2009-2023,"Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2); Renewable Energy, Sustainability and the Environment (Q2)",Energy; Environmental Science; Social Sciences,2016,,,1338.0,,,,,,,,"['Energy', 'Environmental Science', 'Social Sciences']",12.157413914265636,Q1
8865,15026,Flow Measurement and Instrumentation,journal,09555986,"0,526",Q2,69,,347,2840,533,343,"1,44","25,36","12,70",2,0,United Kingdom,Western Europe,Elsevier B.V.,1989-2023,Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Instrumentation (Q2); Modeling and Simulation (Q2),Computer Science; Engineering; Mathematics; Physics and Astronomy,2016,,,112.0,,,,,,,,"['Computer Science', 'Engineering', 'Mathematics', 'Physics and Astronomy']",9.210060219624513,D1
9172,21100317906,MethodsX,journal,22150161,"0,506",Q2,46,,111,1244,156,111,"1,41","18,57","34,17",0,0,Netherlands,Western Europe,Elsevier B.V.,2014-2023,Medical Laboratory Technology (Q2); Clinical Biochemistry (Q3),"Biochemistry, Genetics and Molecular Biology; Health Professions",2016,,,67.0,,,,,,,,"['Biochemistry, Genetics and Molecular Biology', 'Health Professions']",28.54785478547855,Q2
9264,21100399705,Minerals,journal,2075163X,"0,500",Q2,58,,122,5851,283,119,"2,29","46,07","31,21",6,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2010-2023,Geology (Q2); Geotechnical Engineering and Engineering Geology (Q2),Earth and Planetary Sciences,2016,,,127.0,,,,,,,,['Earth and Planetary Sciences'],30.552220888355343,Q2
12014,21100774305,"Journal of Sustainable Development of Energy, Water and Environment Systems",journal,18489257,"0,355",Q2,23,,95,973,99,92,"0,94","29,48","36,45",4,0,Croatia,Eastern Europe,"International Centre for Sustainable Development of Energy, Water and Environment Systems SDEWES",2013-2023,"Energy Engineering and Power Technology (Q2); Environmental Science (miscellaneous) (Q2); Water Science and Technology (Q2); Renewable Energy, Sustainability and the Environment (Q3)",Energy; Environmental Science,2016,,,33.0,,,,,,,,"['Energy', 'Environmental Science']",18.622628250175683,Q1
12053,12000154347,Environmental Engineering and Management Journal,journal,15829596,"0,353",Q3,46,,839,9752,915,807,"1,33","35,72","41,34",6,0,Romania,Eastern Europe,Gh. Asachi Technical University of Iasi,"1988, 2002-2023","Environmental Engineering (Q3); Management, Monitoring, Policy and Law (Q3); Pollution (Q3)",Environmental Science,2016,,,273.0,,,,,,,,['Environmental Science'],39.10034602076124,Q2
16298,21100372856,Data in Brief,journal,23523409,"0,226",Q2,52,,355,6225,200,0,"0,56","7,35","0,00",20,0,United States,Northern America,Elsevier Inc.,2014-2023,Multidisciplinary (Q2); Education (Q3),Multidisciplinary; Social Sciences,2016,,,847.0,,,,,,,,"['Multidisciplinary', 'Social Sciences']",18.367346938775512,Q1
18511,21100411756,Heliyon,journal,24058440,"0,187",Q3,88,,29,6489,22,29,"0,76","41,60","36,01",12,0,Netherlands,Western Europe,Elsevier B.V.,2015-2023,Multidisciplinary (Q3),Multidisciplinary,2016,,,156.0,,,,,,,,['Multidisciplinary'],14.545454545454545,Q1
20931,16400154787,Sustainability,journal,"19370709, 19370695","0,153",Q4,0,,0,0,0,0,"0,00","0,00","0,00",0,0,United States,Northern America,Mary Ann Liebert Inc.,2009-2020,"Education (Q4); Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4); Renewable Energy, Sustainability and the Environment (Q4)",Energy; Environmental Science; Social Sciences,2016,,,0.0,,,,,,,,"['Energy', 'Environmental Science', 'Social Sciences']",12.157413914265636,Q1
32117,21100773812,Chemistry Journal of Moldova,journal,"18571727, 23451688",,-,10,,0,707,0,0,"0,00","25,25","53,93",0,0,Moldova,Eastern Europe,"Institute of Chemistry, Academy of Sciences of Moldova",2016-2023,Chemistry (miscellaneous); Environmental Chemistry; Process Chemistry and Technology,Chemical Engineering; Chemistry; Environmental Science,2016,,,28.0,,,,,,,,"['Chemical Engineering', 'Chemistry', 'Environmental Science']",48.14004376367615,Q2
32530,21100826280,Frontiers in Environmental Science,journal,2296665X,,-,77,,146,5237,364,138,"2,56","63,10","33,42",18,0,Switzerland,Western Europe,Frontiers Media SA,2013-2023,Environmental Science (miscellaneous),Environmental Science,2016,,,83.0,,,,,,,,['Environmental Science'],10.306686777275011,Q1
33461,21100253674,Nanomaterials,journal,20794991,,-,126,,230,10794,930,224,"3,75","46,13","34,57",5,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2011-2023,Chemical Engineering (miscellaneous); Materials Science (miscellaneous),Chemical Engineering; Materials Science,2016,,,234.0,,,,,,,,"['Chemical Engineering', 'Materials Science']",13.069094804499196,Q1
644,27567,Renewable and Sustainable Energy Reviews,journal,"13640321, 18790690","3,036",Q1,421,,3305,151406,37452,3283,"10,65","106,03","24,50",385,0,United Kingdom,Western Europe,Elsevier Ltd,1997-2023,"Renewable Energy, Sustainability and the Environment (Q1)",Energy,2017,,,,1428.0,,,,,,,['Energy'],0.5621925509486999,D1
893,29372,Energy Conversion and Management,journal,01968904,"2,537",Q1,250,,3102,49265,22153,3057,"7,03","46,56","23,40",33,0,United Kingdom,Western Europe,Elsevier Ltd,1979-2023,"Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Nuclear Energy and Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1)",Energy,2017,,,,1058.0,,,,,,,['Energy'],1.0541110330288124,D1
1393,29348,Energy,journal,"18736785, 03605442","1,990",Q1,251,,4250,85671,25372,4219,"5,56","44,34","23,26",171,0,United Kingdom,Western Europe,Elsevier Ltd,1976-2023,Building and Construction (Q1); Civil and Structural Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Mechanical Engineering (Q1); Pollution (Q1),Energy; Engineering; Environmental Science,2017,,,,1932.0,,,,,,,"['Energy', 'Engineering', 'Environmental Science']",0.811078140454995,D1
2018,23916,Environmental Pollution,journal,"02697491, 18736424","1,615",Q1,301,,1886,62123,9996,1850,"4,71","56,63","40,80",296,0,United Kingdom,Western Europe,Elsevier Ltd,"1970-1980, 1986-2023","Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1); Pollution (Q1); Toxicology (Q1)","Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics",2017,,,,1097.0,,,,,,,"['Environmental Science', 'Medicine', 'Pharmacology, Toxicology and Pharmaceutics']",2.9769959404600814,D1
2186,25349,Science of the Total Environment,journal,"00489697, 18791026","1,546",Q1,353,,5757,168259,30361,5674,"5,00","61,77","38,96",754,0,Netherlands,Western Europe,Elsevier B.V.,"1970, 1972-2024",Environmental Chemistry (Q1); Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1),Environmental Science,2017,,,,2724.0,,,,,,,['Environmental Science'],4.790748898678414,D1
2215,21100200805,Scientific Reports,journal,20452322,"1,533",Q1,315,,34322,1153747,161085,34322,"4,46","47,43","36,54",1317,0,United Kingdom,Western Europe,Nature Publishing Group,2011-2023,Multidisciplinary (Q1),Multidisciplinary,2017,,,,24325.0,,,,,,,['Multidisciplinary'],1.6,D1
2394,19167,Journal of Cleaner Production,journal,"09596526, 18791786","1,467",Q1,309,,4064,151302,26779,4039,"6,16","54,54","34,29",558,0,United Kingdom,Western Europe,Elsevier Ltd,1993-2023,"Environmental Science (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1); Strategy and Management (Q1)","Business, Management and Accounting; Energy; Engineering; Environmental Science",2017,,,,2774.0,,,,,,,"['Business, Management and Accounting', 'Energy', 'Engineering', 'Environmental Science']",1.8393623543838136,D1
2585,20292,Ecological Indicators,journal,1470160X,"1,406",Q1,183,,1605,39151,7549,1583,"4,52","62,24","36,96",163,0,Netherlands,Western Europe,Elsevier B.V.,2001-2023,"Decision Sciences (miscellaneous) (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)",Agricultural and Biological Sciences; Decision Sciences; Environmental Science,2017,,,,629.0,,,,,,,"['Agricultural and Biological Sciences', 'Decision Sciences', 'Environmental Science']",4.512195121951219,D1
3047,23271,International Journal of Life Cycle Assessment,journal,"09483349, 16147502","1,268",Q1,131,,447,7590,1826,430,"4,10","44,65","36,59",61,0,Germany,Western Europe,,1996-2023,Environmental Science (miscellaneous) (Q1),Environmental Science,2017,,,,170.0,,,,,,,['Environmental Science'],5.93490746649649,D1
3179,21100220478,Urban Climate,journal,22120955,"1,236",Q1,75,,196,2548,779,188,"3,73","50,96","28,74",12,0,Netherlands,Western Europe,Elsevier B.V.,2012-2023,"Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1); Atmospheric Science (Q2)",Earth and Planetary Sciences; Environmental Science; Social Sciences,2017,,,,50.0,,,,,,,"['Earth and Planetary Sciences', 'Environmental Science', 'Social Sciences']",5.219713522699684,D1
3496,10600153309,PLoS ONE,journal,19326203,"1,164",Q1,435,,78609,947107,263458,78594,"3,02","46,47","40,49",2936,0,United States,Northern America,Public Library of Science,2006-2023,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine",2017,,,,20383.0,,,,,,,"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Medicine']",5.391467416783873,D1
3510,23371,Journal of Environmental Management,journal,"10958630, 03014797","1,161",Q1,243,,1770,50986,8527,1754,"4,46","54,47","36,02",198,0,United States,Northern America,Academic Press,"1973, 1975, 1977-2023","Environmental Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Medicine (miscellaneous) (Q1); Waste Management and Disposal (Q1)",Environmental Science; Medicine,2017,,,,936.0,,,,,,,"['Environmental Science', 'Medicine']",6.52294085129906,D1
3709,25776,Quaternary International,journal,10406182,"1,123",Q1,125,,2054,55436,4669,1921,"2,11","71,90","36,24",47,0,United Kingdom,Western Europe,Elsevier Ltd,1989-2023,Earth-Surface Processes (Q1),Earth and Planetary Sciences,2017,,,,771.0,,,,,,,['Earth and Planetary Sciences'],13.156230234029096,Q1
4104,19700194105,Sustainable Cities and Society,journal,"22106715, 22106707","1,047",Q1,130,,384,15069,1503,382,"3,83","53,82","29,35",51,0,Netherlands,Western Europe,Elsevier B.V.,2011-2023,"Civil and Structural Engineering (Q1); Geography, Planning and Development (Q1); Renewable Energy, Sustainability and the Environment (Q2); Transportation (Q2)",Energy; Engineering; Social Sciences,2017,,,,280.0,,,,,,,"['Energy', 'Engineering', 'Social Sciences']",1.1559990265271356,D1
4864,21100324365,Journal of Water Process Engineering,journal,22147144,"0,925",Q1,89,,313,7634,1328,312,"3,86","41,04","31,56",2,0,United Kingdom,Western Europe,Elsevier Ltd,2014-2023,"Process Chemistry and Technology (Q1); Safety, Risk, Reliability and Quality (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1); Biotechnology (Q2)","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Environmental Science",2017,,,,186.0,,,,,,,"['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Engineering', 'Environmental Science']",6.7128900094547745,D1
4873,21100255493,Journal of Environmental Chemical Engineering,journal,"22133437, 22132929","0,924",Q1,127,,1139,31545,4863,1135,"3,96","47,72","33,77",13,0,United Kingdom,Western Europe,Elsevier B.V.,2013-2023,Chemical Engineering (miscellaneous) (Q1); Pollution (Q1); Process Chemistry and Technology (Q1); Waste Management and Disposal (Q1),Chemical Engineering; Environmental Science,2017,,,,661.0,,,,,,,"['Chemical Engineering', 'Environmental Science']",10.860366713681241,Q1
5067,21100826280,Frontiers in Environmental Science,journal,2296665X,"0,896",Q1,77,,225,5533,699,216,"2,68","65,09","35,85",26,0,Switzerland,Western Europe,Frontiers Media SA,2013-2023,Environmental Science (miscellaneous) (Q1),Environmental Science,2017,,,,85.0,,,,,,,['Environmental Science'],10.306686777275011,Q1
5068,15168,Hydrobiologia,journal,"15735117, 00188158","0,896",Q1,165,,1188,28297,2752,1163,"2,25","65,50","35,42",49,0,Netherlands,Western Europe,Springer Netherlands,1948-2023,Aquatic Science (Q1),Agricultural and Biological Sciences,2017,,,,432.0,,,,,,,['Agricultural and Biological Sciences'],14.082840236686389,Q1
5342,23918,Environmental Science and Pollution Research,journal,"09441344, 16147499","0,858",Q2,179,,5517,132351,16606,5422,"2,94","52,65","40,75",241,0,Germany,Western Europe,,1994-2023,"Environmental Chemistry (Q2); Health, Toxicology and Mutagenesis (Q2); Medicine (miscellaneous) (Q2); Pollution (Q2)",Environmental Science; Medicine,2017,,,,2514.0,,,,,,,"['Environmental Science', 'Medicine']",16.52839821314614,Q1
6430,76627,Materials,journal,19961944,"0,732",Q2,168,,2060,66932,6750,2051,"2,78","44,86","31,29",18,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2008-2023,Materials Science (miscellaneous) (Q2),Materials Science,2017,,,,1492.0,,,,,,,['Materials Science'],12.630208333333334,Q1
7052,62932,Energies,journal,19961073,"0,670",Q1,152,,2242,87259,7497,2233,"3,10","40,21","25,00",125,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2008-2023,"Electrical and Electronic Engineering (Q1); Control and Optimization (Q2); Energy Engineering and Power Technology (Q2); Energy (miscellaneous) (Q2); Renewable Energy, Sustainability and the Environment (Q2)",Energy; Engineering; Mathematics,2017,,,,2170.0,,,,,,,"['Energy', 'Engineering', 'Mathematics']",9.5351137487636,D1
7380,21100317906,MethodsX,journal,22150161,"0,640",Q1,46,,178,990,293,178,"1,54","17,07","34,33",1,0,Netherlands,Western Europe,Elsevier B.V.,2014-2023,Medical Laboratory Technology (Q1); Clinical Biochemistry (Q3),"Biochemistry, Genetics and Molecular Biology; Health Professions",2017,,,,58.0,,,,,,,"['Biochemistry, Genetics and Molecular Biology', 'Health Professions']",28.54785478547855,Q2
7628,13909,Geobios,journal,"00166995, 17775728","0,618",Q2,58,,106,3075,152,104,"1,32","93,18","19,55",1,0,France,Western Europe,Elsevier Masson s.r.l.,"1966, 1968-2023",Stratigraphy (Q2); Space and Planetary Science (Q3),Earth and Planetary Sciences,2017,,,,33.0,,,,,,,['Earth and Planetary Sciences'],22.059758423394786,Q1
8548,21100374601,IEEE Access,journal,21693536,"0,548",Q1,242,,1185,107774,6300,1167,"5,07","38,03","24,76",0,0,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2013-2023,Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q2),Computer Science; Engineering; Materials Science,2017,,,,2834.0,,,,,,,"['Computer Science', 'Engineering', 'Materials Science']",7.281105990783409,D1
8699,21100240100,Sustainability,journal,20711050,"0,537",Q2,169,,2685,133819,6813,2656,"2,42","56,63","36,12",469,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2009-2023,"Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2); Renewable Energy, Sustainability and the Environment (Q3)",Energy; Environmental Science; Social Sciences,2017,,,,2363.0,,,,,,,"['Energy', 'Environmental Science', 'Social Sciences']",12.157413914265636,Q1
9399,15026,Flow Measurement and Instrumentation,journal,09555986,"0,489",Q2,69,,348,3287,613,344,"1,63","29,35","17,31",0,0,United Kingdom,Western Europe,Elsevier B.V.,1989-2023,Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Instrumentation (Q2); Modeling and Simulation (Q2),Computer Science; Engineering; Mathematics; Physics and Astronomy,2017,,,,112.0,,,,,,,"['Computer Science', 'Engineering', 'Mathematics', 'Physics and Astronomy']",9.210060219624513,D1
9811,21100399705,Minerals,journal,2075163X,"0,462",Q2,58,,225,11468,514,220,"2,02","46,06","30,55",7,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2010-2023,Geotechnical Engineering and Engineering Geology (Q2); Geology (Q3),Earth and Planetary Sciences,2017,,,,249.0,,,,,,,['Earth and Planetary Sciences'],30.552220888355343,Q2
10761,12000154347,Environmental Engineering and Management Journal,journal,15829596,"0,410",Q3,46,,805,10595,1061,796,"1,49","35,08","44,62",3,0,Romania,Eastern Europe,Gh. Asachi Technical University of Iasi,"1988, 2002-2023","Environmental Engineering (Q3); Management, Monitoring, Policy and Law (Q3); Pollution (Q3)",Environmental Science,2017,,,,302.0,,,,,,,['Environmental Science'],39.10034602076124,Q2
11880,21100411756,Heliyon,journal,24058440,"0,355",Q1,88,,185,10544,259,185,"1,40","39,94","35,92",21,0,Netherlands,Western Europe,Elsevier B.V.,2015-2023,Multidisciplinary (Q1),Multidisciplinary,2017,,,,264.0,,,,,,,['Multidisciplinary'],14.545454545454545,Q1
12225,21100372856,Data in Brief,journal,23523409,"0,341",Q1,52,,1202,4841,880,0,"0,73","7,20","0,00",17,0,United States,Northern America,Elsevier Inc.,2014-2023,Multidisciplinary (Q1); Education (Q2),Multidisciplinary; Social Sciences,2017,,,,672.0,,,,,,,"['Multidisciplinary', 'Social Sciences']",18.367346938775512,Q1
12747,21100774305,"Journal of Sustainable Development of Energy, Water and Environment Systems",journal,18489257,"0,321",Q3,23,,99,1318,116,96,"1,09","31,38","28,13",6,0,Croatia,Eastern Europe,"International Centre for Sustainable Development of Energy, Water and Environment Systems SDEWES",2013-2023,"Energy Engineering and Power Technology (Q3); Environmental Science (miscellaneous) (Q3); Renewable Energy, Sustainability and the Environment (Q3); Water Science and Technology (Q3)",Energy; Environmental Science,2017,,,,42.0,,,,,,,"['Energy', 'Environmental Science']",18.622628250175683,Q1
20519,16400154787,Sustainability,journal,"19370709, 19370695","0,156",Q3,0,,0,0,0,0,"0,00","0,00","0,00",0,0,United States,Northern America,Mary Ann Liebert Inc.,2009-2020,"Geography, Planning and Development (Q3); Education (Q4); Management, Monitoring, Policy and Law (Q4); Renewable Energy, Sustainability and the Environment (Q4)",Energy; Environmental Science; Social Sciences,2017,,,,0.0,,,,,,,"['Energy', 'Environmental Science', 'Social Sciences']",12.157413914265636,Q1
28509,21100773812,Chemistry Journal of Moldova,journal,"18571727, 23451688","0,105",Q4,10,,28,724,2,26,"0,07","24,13","47,92",0,0,Moldova,Eastern Europe,"Institute of Chemistry, Academy of Sciences of Moldova",2016-2023,Chemistry (miscellaneous) (Q4); Environmental Chemistry (Q4); Process Chemistry and Technology (Q4),Chemical Engineering; Chemistry; Environmental Science,2017,,,,30.0,,,,,,,"['Chemical Engineering', 'Chemistry', 'Environmental Science']",48.14004376367615,Q2
34262,21100253674,Nanomaterials,journal,20794991,,-,126,,424,23844,1618,411,"3,58","52,29","35,81",8,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2011-2023,Chemical Engineering (miscellaneous); Materials Science (miscellaneous),Chemical Engineering; Materials Science,2017,,,,456.0,,,,,,,"['Chemical Engineering', 'Materials Science']",13.069094804499196,Q1
559,27567,Renewable and Sustainable Energy Reviews,journal,"13640321, 18790690","3,288",Q1,421,,3898,119690,49590,3861,"12,45","106,77","26,69",289,987,United Kingdom,Western Europe,Elsevier Ltd,1997-2023,"Renewable Energy, Sustainability and the Environment (Q1)",Energy,2018,,,,,1121.0,,,,,,['Energy'],0.5621925509486999,D1
781,29372,Energy Conversion and Management,journal,01968904,"2,730",Q1,250,,3158,55683,25265,3125,"8,07","48,04","24,70",33,820,United Kingdom,Western Europe,Elsevier Ltd,1979-2023,"Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Nuclear Energy and Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1)",Energy,2018,,,,,1159.0,,,,,,['Energy'],1.0541110330288124,D1
1314,29348,Energy,journal,"18736785, 03605442","2,048",Q1,251,,4913,98627,31106,4887,"6,26","45,12","24,88",177,1480,United Kingdom,Western Europe,Elsevier Ltd,1976-2023,Building and Construction (Q1); Civil and Structural Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Mechanical Engineering (Q1); Pollution (Q1),Energy; Engineering; Environmental Science,2018,,,,,2186.0,,,,,,"['Energy', 'Engineering', 'Environmental Science']",0.811078140454995,D1
1870,23916,Environmental Pollution,journal,"02697491, 18736424","1,673",Q1,301,,2523,88097,15679,2490,"6,12","59,40","40,05",355,890,United Kingdom,Western Europe,Elsevier Ltd,"1970-1980, 1986-2023","Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1); Pollution (Q1); Toxicology (Q1)","Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics",2018,,,,,1483.0,,,,,,"['Environmental Science', 'Medicine', 'Pharmacology, Toxicology and Pharmaceutics']",2.9769959404600814,D1
1965,19167,Journal of Cleaner Production,journal,"09596526, 18791786","1,620",Q1,309,,6022,214814,44362,5994,"7,07","57,16","34,71",655,3143,United Kingdom,Western Europe,Elsevier Ltd,1993-2023,"Environmental Science (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1); Strategy and Management (Q1)","Business, Management and Accounting; Energy; Engineering; Environmental Science",2018,,,,,3758.0,,,,,,"['Business, Management and Accounting', 'Energy', 'Engineering', 'Environmental Science']",1.8393623543838136,D1
2145,23271,International Journal of Life Cycle Assessment,journal,"09483349, 16147502","1,538",Q1,131,,447,9308,2035,426,"4,14","50,59","40,25",71,180,Germany,Western Europe,,1996-2023,Environmental Science (miscellaneous) (Q1),Environmental Science,2018,,,,,184.0,,,,,,['Environmental Science'],5.93490746649649,D1
2148,25349,Science of the Total Environment,journal,"00489697, 18791026","1,536",Q1,353,,6707,266897,40904,6618,"6,00","62,45","38,73",937,2818,Netherlands,Western Europe,Elsevier B.V.,"1970, 1972-2024",Environmental Chemistry (Q1); Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1),Environmental Science,2018,,,,,4274.0,,,,,,['Environmental Science'],4.790748898678414,D1
2499,21100200805,Scientific Reports,journal,20452322,"1,414",Q1,315,,54807,813093,247277,54806,"4,18","46,64","36,27",1018,4803,United Kingdom,Western Europe,Nature Publishing Group,2011-2023,Multidisciplinary (Q1),Multidisciplinary,2018,,,,,17434.0,,,,,,['Multidisciplinary'],1.6,D1
2699,20292,Ecological Indicators,journal,1470160X,"1,352",Q1,183,,1780,55626,9209,1765,"4,82","63,50","38,77",166,640,Netherlands,Western Europe,Elsevier B.V.,2001-2023,"Decision Sciences (miscellaneous) (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)",Agricultural and Biological Sciences; Decision Sciences; Environmental Science,2018,,,,,876.0,,,,,,"['Agricultural and Biological Sciences', 'Decision Sciences', 'Environmental Science']",4.512195121951219,D1
3292,23371,Journal of Environmental Management,journal,"10958630, 03014797","1,206",Q1,243,,2310,67144,12603,2281,"5,29","56,33","36,86",191,926,United States,Northern America,Academic Press,"1973, 1975, 1977-2023","Environmental Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Medicine (miscellaneous) (Q1); Waste Management and Disposal (Q1)",Environmental Science; Medicine,2018,,,,,1192.0,,,,,,"['Environmental Science', 'Medicine']",6.52294085129906,D1
3493,25776,Quaternary International,journal,10406182,"1,159",Q1,125,,2211,48765,4711,2063,"1,92","77,40","36,83",13,101,United Kingdom,Western Europe,Elsevier Ltd,1989-2023,Earth-Surface Processes (Q1),Earth and Planetary Sciences,2018,,,,,630.0,,,,,,['Earth and Planetary Sciences'],13.156230234029096,Q1
3773,10600153309,PLoS ONE,journal,19326203,"1,100",Q1,435,,69708,832823,226380,69689,"2,93","46,04","40,46",2455,7042,United States,Northern America,Public Library of Science,2006-2023,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine",2018,,,,,18089.0,,,,,,"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Medicine']",5.391467416783873,D1
